siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
140,林森,143,小時風速值,WS_HR,m/sec,202603,0.7
140,林森,38,相對濕度,RH,%,202603,69
140,林森,33,細懸浮微粒,PM2.5,μg/m3,202603,20.9
140,林森,31,甲烷,CH4,ppm,202603,2.1
140,林森,14,溫度,AMB_TEMP,℃,202603,22.4
140,林森,10,風速,WIND_SPEED,m/sec,202603,1.3
140,林森,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.12
140,林森,8,總碳氫化物,THC,ppm,202603,2.23
140,林森,7,二氧化氮,NO2,ppb,202603,13
140,林森,6,一氧化氮,NO,ppb,202603,3.1
140,林森,5,氮氧化物,NOx,ppb,202603,16.2
140,林森,4,懸浮微粒,PM10,μg/m3,202603,45
140,林森,3,臭氧,O3,ppb,202603,34
140,林森,2,一氧化碳,CO,ppm,202603,0.43
140,林森,1,二氧化硫,SO2,ppb,202603,1.2
139,員林,143,小時風速值,WS_HR,m/sec,202603,
139,員林,38,相對濕度,RH,%,202603,
139,員林,33,細懸浮微粒,PM2.5,μg/m3,202603,20.9
139,員林,31,甲烷,CH4,ppm,202603,2.09
139,員林,14,溫度,AMB_TEMP,℃,202603,
139,員林,10,風速,WIND_SPEED,m/sec,202603,1.9
139,員林,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
139,員林,8,總碳氫化物,THC,ppm,202603,2.2
139,員林,7,二氧化氮,NO2,ppb,202603,9
139,員林,6,一氧化氮,NO,ppb,202603,1.8
139,員林,5,氮氧化物,NOx,ppb,202603,11.2
139,員林,4,懸浮微粒,PM10,μg/m3,202603,38
139,員林,3,臭氧,O3,ppb,202603,37
139,員林,2,一氧化碳,CO,ppm,202603,0.3
139,員林,1,二氧化硫,SO2,ppb,202603,1.5
88,臺灣大道,143,小時風速值,WS_HR,m/sec,202603,0.8
88,臺灣大道,38,相對濕度,RH,%,202603,68
88,臺灣大道,33,細懸浮微粒,PM2.5,μg/m3,202603,20
88,臺灣大道,31,甲烷,CH4,ppm,202603,2.21
88,臺灣大道,14,溫度,AMB_TEMP,℃,202603,21.2
88,臺灣大道,10,風速,WIND_SPEED,m/sec,202603,1.1
