類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標, 推論理解[一]/句子情緒推論,國語文108,20,6,70.0
能力指標, 推論理解[一]/句子狀態推論,國語文108,2,0,100.0
能力指標, 推論理解[一]/句子角色推論,國語文108,6,2,66.7
能力指標, 推論理解[一]/段落情緒推論,國語文108,20,9,55.0
能力指標, 推論理解[二]/句子多因單果推論,國語文108,8,2,75.0
能力指標, 推論理解[二]/句子工具推論,國語文108,8,2,75.0
能力指標, 推論理解[二]/句子情緒推論,國語文108,22,3,86.4
能力指標, 推論理解[二]/句子狀態推論,國語文108,2,0,100.0
能力指標, 推論理解[二]/句子角色推論,國語文108,10,2,80.0
能力指標, 推論理解[二]/段落多因單果推論,國語文108,14,6,57.1
能力指標, 推論理解[二]/段落工具推論,國語文108,6,1,83.3
能力指標, 推論理解[二]/段落情緒推論,國語文108,16,3,81.2
能力指標, 推論理解[二]/段落狀態推論,國語文108,4,0,100.0
能力指標, 推論理解[二]/段落角色推論,國語文108,8,3,62.5
能力指標,100以內聽讀寫做。,數學108,2,0,100.0
能力指標,10以內聽讀寫做、0的使用。,數學108,6,0,100.0
能力指標,30以內聽讀寫做。,數學108,10,0,100.0
能力指標,50以內聽讀寫做。,數學108,4,2,50.0
能力指標,Chromebook鍵盤使用方法,資訊教育,4,1,75.0
能力指標,Google 地圖功能介紹,資訊教育,16,8,50.0
能力指標,Google 地圖基本操作,資訊教育,14,5,64.3
能力指標,Google 簡報的操作介面與檔案管理,資訊教育,136,42,69.1
能力指標,Google相簿-網頁版-上傳與瀏覽相片,資訊教育,26,7,73.1
能力指標,Scratch網站介紹,資訊教育,2,1,50.0
能力指標,Scratch舞台設計與認識角色,資訊教育,192,46,76.0
能力指標,Scratch角色動起來,資訊教育,158,60,62.0
能力指標,[同S-2-5-S01]認識容器和容量。,數學108,6,1,83.3
能力指標,[同S-2-5-S02]透過感官感覺，直接比較兩個容器的容量和液量。,數學108,2,0,100.0
能力指標,[同S-2-5-S03]了解容量的保留概念。,數學108,18,8,55.6
能力指標,[同S-2-5-S04]間接比較容量與液量的大小。,數學108,2,0,100.0
能力指標,[同S-2-5-S05]透過個別單位測量並比較容量與液量的大小。,數學108,4,1,75.0
能力指標,[同S-2-5-S06]認識重量和天平。,數學108,10,5,50.0
能力指標,[同S-2-5-S07]透過操作，直接比較兩個物件的重量。,數學108,12,4,66.7
能力指標,[同S-2-5-S08]透過單位物的多寡，比較物品的重量。,數學108,2,0,100.0
能力指標,[同S-2-5-S09]透過具體情境，理解重量的遞移關係。,數學108,4,4,0.0
能力指標,[同S-2-5-S10]重量的比較。,數學108,10,4,60.0
能力指標,[同S-2-5-S11]認識面「積」的定義，並透過直觀活動比較面積的大小。,數學108,6,1,83.3
能力指標,[同S-2-5-S12]能進行面積的直接比較問題。,數學108,2,0,100.0
能力指標,[同S-3-1-S01]能認識角的構成要素，並畫出一角。,數學108,26,4,84.6
能力指標,[同S-3-1-S02]能透過直接的方式比較角的大小，並明白角的大小不會因邊的長度改變。,數學108,68,33,51.5
能力指標,[同S-3-1-S03]能透過直尺、三角板、正方形、長方形認識直角。,數學108,18,2,88.9
能力指標,[同S-3-1-S04]能分辨比直角大的角和比直角小的角。,數學108,28,10,64.3
能力指標,上傳、下載檔案與文件共用,資訊教育,26,9,65.4
能力指標,中文輸入真Easy,資訊教育,30,8,73.3
能力指標,了解倍數的意義。,數學108,230,60,73.9
能力指標,了解公倍數的意義並找出兩數的公倍數。,數學108,78,12,84.6
能力指標,了解公因數的意義並找出兩數的所有公因數。,數學108,102,36,64.7
能力指標,了解分數乘法中，被乘數、乘數和積的關係。,數學108,8,4,50.0
能力指標,了解整除的意義。,數學108,150,33,78.0
能力指標,"位置-A Messy Desk (in, on, under, by",英語108,4,1,75.0
能力指標,作業系統介紹與操作-作業系統的介紹,資訊教育,24,11,54.2
能力指標,作業系統介紹與操作-視窗與滑鼠的操作,資訊教育,42,4,90.5
能力指標,作正方形、長方形、平行四邊形。,數學108,6,2,66.7
能力指標,使用Google 地圖看世界,資訊教育,8,2,75.0
能力指標,使用Google 街景尋找世界美景,資訊教育,24,10,58.3
能力指標,使用Inkscape工具繪製向量物件,資訊教育,110,25,77.3
能力指標,使用雲端硬碟電腦版,資訊教育,6,1,83.3
能力指標,使用項目符號、探索功能,資訊教育,34,11,67.6
能力指標,信件處理,資訊教育,20,7,65.0
能力指標,修辭[四]/排比,國語文108,4,1,75.0
能力指標,修辭[四]/譬喻,國語文108,6,3,50.0
能力指標,倒數計時,資訊教育,16,8,50.0
能力指標,兩個角色的互動,資訊教育,104,26,75.0
能力指標,其他簡報軟體插入投影片編號,資訊教育,22,9,59.1
能力指標,其他網路服務-Google Keep 筆記工具,資訊教育,22,6,72.7
能力指標,其他網路服務-Google 翻譯,資訊教育,22,11,50.0
能力指標,利用植物汁液檢驗水溶液的酸鹼性,自然108,2,0,100.0
能力指標,刪除與還原,資訊教育,28,11,60.7
能力指標,"動物-On the Farm (horse, duck ,cow, pig, chicken",英語108,2,0,100.0
能力指標,動物-What is that? That/It is_________.,英語108,14,1,92.9
能力指標,動物-What is this? This/It is_________.,英語108,10,4,60.0
能力指標,"動物/玩具-Yes / No Questions- Yes, it is. No, it's not.",英語108,4,0,100.0
能力指標,匯入投影片主題,資訊教育,70,22,68.6
能力指標,句義[三]/句義1,國語文108,24,10,58.3
能力指標,句義[三]/句義2,國語文108,2,0,100.0
能力指標,句義[二]/句義1,國語文108,14,4,71.4
能力指標,句義[二]/句義2,國語文108,8,4,50.0
能力指標,句義[四]/句義1,國語文108,2,0,100.0
能力指標,句義[四]/句義2,國語文108,4,1,75.0
能力指標,向左走向右走,資訊教育,72,25,65.3
能力指標,含有感測器的 micro bit 與webduino bit,資訊教育,2,2,0.0
能力指標,問候-Are You OK? What's Wrong? What's the Matter?,英語108,4,1,75.0
能力指標,問候-Good Job. Try Again.,英語108,2,0,100.0
能力指標,問候-How are you?,英語108,4,1,75.0
能力指標,問候-I'm sorry. That's Okay.,英語108,2,0,100.0
能力指標,問候-Thank You. You're Welcome.,英語108,8,4,50.0
能力指標,問答簡報是非與選擇題製作,資訊教育,104,34,67.3
能力指標,在平分的情境下，理解1/100=0.01，並進而理解0.01的意義。,數學108,24,11,54.2
能力指標,地點-Where are you?,英語108,2,1,50.0
能力指標,地點-Where is he/she?,英語108,4,1,75.0
能力指標,增刪投影片與版面配置,資訊教育,108,43,60.2
能力指標,大數的大小比較及八位數的加減直式運算。,數學108,27,6,77.8
能力指標,"天氣-Good Day -sunny, cloudy, rainy, windy, snowy",英語108,4,2,50.0
能力指標,"天氣-Good morning Taiwan (sunny, windy, cloudy, snowy, rainy",英語108,4,2,50.0
能力指標,天氣為短時間發生的大氣變化；氣候為長時間的天氣平均狀態。,國高中地球科學,8,3,62.5
能力指標,字形[一]/部首,國語文108,1,0,100.0
能力指標,字形[三]/同音字1,國語文108,3,2,33.3
能力指標,字形[三]/同音字2,國語文108,2,0,100.0
能力指標,字形[三]/同音字3,國語文108,3,0,100.0
能力指標,字形[三]/同音字4,國語文108,10,3,70.0
能力指標,字形[三]/同音字5,國語文108,40,18,55.0
能力指標,字形[三]/字體字形,國語文108,4,2,50.0
能力指標,字形[三]/形近字,國語文108,10,4,60.0
能力指標,字形[三]/查字典,國語文108,4,1,75.0
能力指標,字形[三]/部首,國語文108,14,3,78.6
能力指標,字形[二]/同音字1,國語文108,18,10,44.4
能力指標,字形[二]/同音字2,國語文108,18,8,55.6
能力指標,字形[二]/同音字3,國語文108,8,1,87.5
能力指標,字形[二]/同音字4,國語文108,4,1,75.0
能力指標,字形[二]/字體字形1,國語文108,8,0,100.0
能力指標,字形[二]/字體字形2,國語文108,6,1,83.3
能力指標,字形[二]/形近字1,國語文108,10,0,100.0
能力指標,字形[二]/形近字2,國語文108,10,1,90.0
能力指標,字形[二]/形近字3,國語文108,8,0,100.0
能力指標,字形[二]/形近字4,國語文108,8,1,87.5
能力指標,字形[二]/查字典,國語文108,16,6,62.5
能力指標,字形[二]/部首,國語文108,4,1,75.0
能力指標,字形筆畫名稱[一]/橫折,國語文108,6,2,66.7
能力指標,字形筆畫名稱[三]/豎曲鉤,國語文108,6,0,100.0
能力指標,字形筆畫名稱[三]/豎橫折,國語文108,7,4,42.9
能力指標,字形筆畫名稱[三]/長頓點,國語文108,2,0,100.0
能力指標,字形筆畫名稱[二]/橫鉤,國語文108,8,3,62.5
能力指標,字形筆順[一]/橫畫在中而突出最後寫,國語文108,6,2,66.7
能力指標,字形筆順[一]/橫豎組合字橫最後寫,國語文108,4,2,50.0
能力指標,字形筆順[一]/由橫而豎,國語文108,4,2,50.0
能力指標,字形結構[一]/左窄右寬結構,國語文108,8,3,62.5
能力指標,字形結構[三]/上長下短結構,國語文108,1,0,100.0
能力指標,字形結構[三]/左窄右寬結構,國語文108,26,13,50.0
能力指標,字形結構[二]/上短下長結構,國語文108,6,3,50.0
能力指標,字形結構[四]/左上包右下結構,國語文108,10,2,80.0
能力指標,字母-Alphabet A-Z,英語108,10,3,70.0
能力指標,字母-Alphabet Cc Dd,英語108,2,0,100.0
能力指標,字母-Alphabet Ee Ff,英語108,2,0,100.0
