使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
170651,1377,6,1,96.0,76.0,84.0,24,66.7,1139,36,8698,81.1,21,27,0,191,0,0,493,21172,0,553,Q4 高
60826,2284,5,1,32.0,76.0,76.0,71,71.8,4036,8,2867,58.4,4,0,0,278,0,0,0,0,72,151,Q2 中低
70353,2284,5,3,56.0,52.0,,34,51.5,620,0,0,,0,0,0,0,10,12,0,0,201,257,Q2 中低
230014,1377,6,2,88.0,96.0,76.0,2,50.0,23,27,3888,46.4,36,3,0,73,0,0,467,8910,0,496,Q4 高
75161,2284,6,2,64.0,72.0,64.0,0,,0,0,0,,0,0,0,0,0,0,0,0,59,59,Q1 低
14640,1377,5,2,96.0,60.0,92.0,27,40.7,300,48,8392,75.1,4,8,0,109,0,0,631,9156,0,706,Q4 高
178025,2284,5,2,,,56.0,18,72.2,1823,7,2105,68.6,0,0,0,31,0,0,0,0,164,189,Q2 中低
75076,1377,5,3,100.0,88.0,100.0,1,0.0,5,17,2578,44.9,22,1,0,86,0,0,617,11524,0,635,Q4 高
75860,2284,6,1,64.0,36.0,36.0,9,88.9,298,0,0,,0,0,0,0,40,0,110,1905,13,172,Q2 中低
252091,2284,3,2,,88.0,,22,86.4,1241,39,7638,57.6,10,0,0,82,0,0,0,0,391,452,Q4 高
116465,1377,3,4,44.0,44.0,,202,78.2,19446,57,12959,80.2,13,19,0,143,0,0,77,703,7,343,Q3 中高
51708,1377,6,3,92.0,72.0,92.0,44,61.4,936,35,8015,76.0,12,46,0,143,0,0,544,8024,0,623,Q4 高
241854,1377,6,2,88.0,92.0,96.0,16,68.8,256,28,4649,61.1,14,5,0,156,0,0,170,7981,26,240,Q2 中低
172421,1377,4,1,80.0,100.0,80.0,20,67.5,1781,24,5008,74.5,3,1,0,47,0,0,272,8470,0,316,Q3 中高
115966,1377,4,3,60.0,84.0,70.0,27,68.5,1210149,21,4506,80.4,3,0,0,52,0,0,446,9264,0,494,Q4 高
242339,2284,3,4,96.0,,,29,63.8,471,4,388,76.8,0,0,0,2,0,0,0,0,298,331,Q3 中高
25068,1377,5,1,96.0,72.0,88.0,20,52.5,294,25,5114,66.4,6,0,0,808,0,0,5,110,43,93,Q1 低
87061,2284,5,2,52.0,64.0,48.0,18,66.7,632,13,5063,66.3,1,0,0,251,0,0,0,0,5,36,Q1 低
